serial number,account_info,duration_month,Loan,Regularity,Purpose,credit_amount,savings_account,Saving Account,employment_st,Salary,investment,Gender,Status,gurantors,resident_since,property_type,age,installment_type,housing_type,credits_no,job_type,liables,telephone,foreigner
194,NA,6,YES,YES,A40,2108,A61,82,A74,2320,46.4,M,Married,A101,2,A121,29,A143,A151,1,A173,1,A191,A201
195,SILVER,45,YES,YES,A40,3031,A62,389,A73,854,34.16,M,Umarried,A103,4,A122,21,A143,A151,1,A173,1,A191,A201
196,SILVER,9,YES,NO,A46,1501,A61,58,A75,2171,43.42,F,Divorced,A101,3,A123,34,A143,A152,2,A174,1,A192,A201
197,NA,6,YES,NO,A40,1382,A61,90,A73,3149,31.49,F,Divorced,A101,1,A123,28,A143,A152,2,A173,1,A192,A201
198,SILVER,12,YES,YES,A40,951,A62,311,A72,806,32.24,F,Divorced,A101,4,A123,27,A141,A151,4,A173,1,A191,A201
199,SILVER,24,YES,YES,A40,2760,A65,NA,A75,896,35.84,M,Umarried,A101,4,A124,36,A141,A153,1,A173,1,A192,A201
200,SILVER,18,YES,NO,A40,4297,A61,88,A75,1062,42.48,M,Divorced,A101,3,A124,40,A143,A152,1,A174,1,A192,A201
201,NA,9,YES,NO,A46,936,A63,866,A75,981,39.24,M,Umarried,A101,2,A123,52,A143,A152,2,A173,1,A192,A201
202,BRONZE,12,YES,YES,A40,1168,A61,32,A73,929,37.16,M,Married,A101,3,A121,27,A143,A152,1,A172,1,A191,A201
203,NA,27,YES,NO,A49,5117,A61,12,A74,1546,46.38,M,Umarried,A101,4,A123,26,A143,A152,2,A173,1,A191,A201
204,BRONZE,12,YES,YES,A48,902,A61,87,A74,1030,41.2,M,Married,A101,4,A122,21,A143,A151,1,A173,1,A191,A201
205,NA,12,YES,NO,A40,1495,A61,5,A75,1055,42.2,M,Umarried,A101,1,A121,38,A143,A152,2,A172,2,A191,A201
206,BRONZE,30,YES,NO,A40,10623,A61,30,A75,1609,48.27,M,Umarried,A101,4,A124,38,A143,A153,3,A174,2,A192,A201
207,NA,12,YES,NO,A40,1935,A61,89,A75,814,32.56,M,Umarried,A101,4,A121,43,A143,A152,3,A173,1,A192,A201
208,SILVER,12,YES,NO,A40,1424,A61,90,A74,1045,41.8,M,Umarried,A101,3,A122,26,A143,A152,1,A173,1,A191,A201
209,BRONZE,24,YES,YES,A49,6568,A61,43,A73,2459,49.18,M,Married,A101,2,A123,21,A142,A152,1,A172,1,A191,A201
210,NA,12,YES,YES,A40,1413,A64,2640,A74,1600,48,M,Umarried,A101,2,A122,55,A143,A152,1,A173,1,A191,A202
211,NA,9,YES,NO,A40,3074,A65,NA,A73,3461,34.61,M,Umarried,A101,2,A121,33,A143,A152,2,A173,2,A191,A201
212,NA,36,YES,YES,A40,3835,A65,NA,A75,2525,50.5,F,Divorced,A101,4,A121,45,A143,A152,1,A172,1,A192,A201
213,BRONZE,27,NO,YES,A49,5293,A61,85,A71,1988,39.76,M,Umarried,A101,4,A122,50,A142,A152,2,A173,1,A192,A201
214,GOLD,30,YES,NO,A49,1908,A61,11,A75,805,32.2,M,Umarried,A101,4,A121,66,A143,A152,1,A174,1,A192,A201
215,NA,36,YES,NO,A40,3342,A65,NA,A75,879,35.16,M,Umarried,A101,2,A123,51,A143,A152,1,A173,1,A192,A201
216,SILVER,6,YES,NO,A48,932,A65,NA,A74,3369,33.69,F,Divorced,A101,3,A122,39,A143,A152,2,A172,1,A191,A201
217,BRONZE,18,NO,YES,A49,3104,A61,71,A74,1437,43.11,M,Umarried,A101,1,A122,31,A141,A152,1,A173,1,A192,A201
218,GOLD,36,YES,YES,A40,3913,A61,62,A73,1971,39.42,M,Umarried,A101,2,A121,23,A143,A152,1,A173,1,A192,A201
219,BRONZE,24,YES,YES,A40,3021,A61,73,A73,2005,40.1,M,Divorced,A101,2,A121,24,A143,A151,1,A172,1,A191,A201
220,NA,10,YES,YES,A40,1364,A61,20,A73,2590,51.8,F,Divorced,A101,4,A123,64,A143,A152,1,A173,1,A192,A201
221,SILVER,12,YES,YES,A40,625,A61,66,A72,835,33.4,M,Married,A103,1,A121,26,A141,A152,1,A172,1,A191,A201
222,BRONZE,12,YES,YES,A46,1200,A65,NA,A73,888,35.52,F,Divorced,A101,4,A122,23,A141,A151,1,A173,1,A192,A201
223,NA,12,YES,YES,A40,707,A61,24,A73,813,32.52,M,Umarried,A101,2,A121,30,A141,A152,2,A173,1,A191,A201
224,NA,24,YES,NO,A49,2978,A65,NA,A73,869,34.76,M,Umarried,A101,4,A121,32,A143,A152,2,A173,2,A192,A201
225,NA,15,YES,YES,A40,4657,A61,23,A73,1556,46.68,M,Umarried,A101,2,A123,30,A143,A152,1,A173,1,A192,A201
226,NA,36,NO,YES,A40,2613,A61,12,A73,717,28.68,M,Umarried,A101,2,A123,27,A143,A152,2,A173,1,A191,A201
227,SILVER,48,YES,YES,A40,10961,A64,2222,A74,3341,33.41,M,Umarried,A102,2,A124,27,A141,A152,2,A173,1,A192,A201
228,BRONZE,12,YES,YES,A40,7865,A61,8,A75,999,39.96,M,Umarried,A101,4,A124,53,A143,A153,1,A174,1,A192,A201
229,NA,9,YES,YES,A40,1478,A61,50,A74,1025,41,M,Umarried,A101,2,A123,22,A143,A152,1,A173,1,A191,A201
230,BRONZE,24,YES,YES,A40,3149,A61,13,A72,1176,47.04,M,Umarried,A101,1,A124,22,A141,A153,1,A173,1,A191,A201
231,GOLD,36,YES,YES,A40,4210,A61,73,A73,790,31.6,M,Umarried,A101,2,A123,26,A143,A152,1,A173,1,A191,A201
232,NA,9,YES,YES,A40,2507,A63,763,A75,2155,43.1,M,Umarried,A101,4,A124,51,A143,A153,1,A172,1,A191,A201
233,NA,12,YES,YES,A40,2141,A62,309,A74,1667,50.01,M,Umarried,A101,1,A124,35,A143,A152,1,A173,1,A191,A201
234,SILVER,18,YES,YES,A40,866,A61,80,A73,713,28.52,M,Married,A103,2,A121,25,A143,A152,1,A172,1,A191,A201
235,NA,4,YES,NO,A40,1544,A61,5,A74,1818,36.36,M,Umarried,A101,1,A121,42,A143,A152,3,A172,2,A191,A201
236,BRONZE,24,YES,YES,A40,1823,A61,94,A71,1018,40.72,M,Umarried,A101,2,A123,30,A142,A152,1,A174,2,A191,A201
237,SILVER,6,YES,YES,A40,14555,A65,NA,A71,2711,27.11,M,Umarried,A101,2,A122,23,A143,A152,1,A171,1,A192,A201
238,SILVER,21,YES,YES,A49,2767,A62,216,A75,1147,45.88,M,Divorced,A101,2,A123,61,A141,A151,2,A172,1,A191,A201
239,NA,12,YES,NO,A40,1291,A61,48,A73,981,39.24,F,Divorced,A101,2,A122,35,A143,A152,2,A173,1,A191,A201
240,BRONZE,30,YES,YES,A40,2522,A61,20,A75,3038,30.38,M,Umarried,A103,3,A122,39,A143,A152,1,A173,2,A191,A201
241,BRONZE,24,YES,YES,A40,915,A65,NA,A75,735,29.4,F,Divorced,A101,2,A123,29,A141,A152,1,A173,1,A191,A201
242,NA,6,YES,YES,A40,1595,A61,79,A74,1240,37.2,M,Umarried,A101,2,A122,51,A143,A152,1,A173,2,A191,A201
243,BRONZE,48,NO,YES,A40,4605,A61,36,A75,1396,41.88,M,Umarried,A101,4,A124,24,A143,A153,2,A173,2,A191,A201
244,NA,12,YES,NO,A49,1185,A61,54,A73,1704,51.12,F,Divorced,A101,2,A121,27,A143,A152,2,A173,1,A191,A201
245,NA,12,NO,YES,A48,3447,A63,926,A73,915,36.6,F,Divorced,A101,3,A121,35,A143,A152,1,A172,2,A191,A201
246,NA,24,YES,YES,A49,1258,A61,66,A74,1155,46.2,M,Umarried,A101,1,A121,25,A143,A152,1,A173,1,A192,A201
247,NA,12,YES,NO,A40,717,A61,14,A75,1183,47.32,M,Umarried,A101,4,A121,52,A143,A152,3,A173,1,A191,A201
248,NA,6,NO,YES,A40,1204,A62,351,A73,912,36.48,M,Umarried,A101,1,A124,35,A141,A151,1,A173,1,A191,A202
249,GOLD,24,YES,YES,A40,1925,A61,86,A73,2367,47.34,M,Umarried,A101,2,A121,26,A143,A152,1,A173,1,A191,A201
250,NA,18,YES,YES,A40,433,A61,61,A71,1295,38.85,F,Divorced,A102,4,A121,22,A143,A151,1,A173,1,A191,A201
251,BRONZE,6,YES,NO,A40,666,A64,2348,A74,1549,46.47,F,Divorced,A101,4,A121,39,A143,A152,2,A172,1,A192,A201
252,GOLD,12,YES,YES,A40,2251,A61,13,A73,2951,29.51,F,Divorced,A101,2,A123,46,A143,A152,1,A172,1,A191,A201
253,SILVER,30,YES,YES,A40,2150,A61,59,A73,1076,43.04,F,Divorced,A103,2,A124,24,A141,A152,1,A173,1,A191,A201
254,NA,24,YES,NO,A40,4151,A62,277,A73,1894,37.88,M,Umarried,A101,3,A122,35,A143,A152,2,A173,1,A191,A201
255,SILVER,9,YES,YES,A40,2030,A65,NA,A74,2258,45.16,M,Umarried,A101,1,A123,24,A143,A152,1,A173,1,A192,A201
256,SILVER,60,YES,NO,A40,7418,A65,NA,A73,2695,26.95,M,Umarried,A101,1,A121,27,A143,A152,1,A172,1,A191,A201
257,NA,24,YES,NO,A40,2684,A61,57,A73,894,35.76,M,Umarried,A101,2,A121,35,A143,A152,2,A172,1,A191,A201
258,BRONZE,12,NO,YES,A40,2149,A61,30,A73,924,36.96,M,Divorced,A101,1,A124,29,A143,A153,1,A173,1,A191,A201
259,NA,15,YES,YES,A40,3812,A62,145,A72,2601,26.01,F,Divorced,A101,4,A123,23,A143,A152,1,A173,1,A192,A201
260,NA,11,YES,NO,A40,1154,A62,409,A71,766,30.64,F,Divorced,A101,4,A121,57,A143,A152,3,A172,1,A191,A201
261,BRONZE,12,YES,YES,A40,1657,A61,67,A73,2041,40.82,M,Umarried,A101,2,A121,27,A143,A152,1,A173,1,A191,A201
262,BRONZE,24,YES,YES,A40,1603,A61,39,A75,1088,43.52,F,Divorced,A101,4,A123,55,A143,A152,1,A173,1,A191,A201
263,BRONZE,18,YES,NO,A40,5302,A61,77,A75,1834,36.68,M,Umarried,A101,4,A124,36,A143,A153,3,A174,1,A192,A201
264,NA,12,YES,NO,A46,2748,A61,39,A75,2254,45.08,F,Divorced,A101,4,A124,57,A141,A153,3,A172,1,A191,A201
265,NA,10,YES,NO,A40,1231,A61,43,A75,1409,42.27,M,Umarried,A101,4,A121,32,A143,A152,2,A172,2,A191,A202
266,SILVER,15,YES,YES,A40,802,A61,80,A75,946,37.84,M,Umarried,A101,3,A123,37,A143,A152,1,A173,2,A191,A201
267,NA,36,YES,NO,A49,6304,A65,NA,A75,804,32.16,M,Umarried,A101,4,A121,36,A143,A152,2,A173,1,A191,A201
268,NA,24,YES,YES,A40,1533,A61,54,A72,1113,44.52,F,Divorced,A101,3,A123,38,A142,A152,1,A173,1,A192,A201
269,BRONZE,14,YES,YES,A40,8978,A61,91,A75,2937,29.37,M,Divorced,A101,4,A122,45,A143,A152,1,A174,1,A192,A202
270,NA,24,YES,YES,A40,999,A65,NA,A75,950,38,M,Umarried,A101,2,A123,25,A143,A152,2,A173,1,A191,A201
271,NA,18,YES,YES,A40,2662,A65,NA,A74,752,30.08,M,Umarried,A101,3,A122,32,A143,A152,1,A173,1,A191,A202
272,NA,12,YES,NO,A40,1402,A63,972,A74,1427,42.81,F,Divorced,A101,4,A123,37,A143,A151,1,A173,1,A192,A201
273,SILVER,48,NO,YES,A40,12169,A65,NA,A71,895,35.8,M,Umarried,A102,4,A124,36,A143,A153,1,A174,1,A192,A201
274,SILVER,48,YES,YES,A40,3060,A61,39,A74,907,36.28,M,Umarried,A101,4,A121,28,A143,A152,2,A173,1,A191,A201
275,BRONZE,30,YES,YES,A40,11998,A61,86,A72,2650,26.5,M,Divorced,A101,1,A124,34,A143,A152,1,A172,1,A192,A201
276,NA,9,YES,YES,A40,2697,A61,10,A73,3157,31.57,M,Umarried,A101,2,A121,32,A143,A152,1,A173,2,A191,A201
277,NA,18,YES,NO,A40,2404,A61,59,A73,2481,49.62,F,Divorced,A101,2,A123,26,A143,A152,2,A173,1,A191,A201
278,BRONZE,12,YES,YES,A40,1262,A65,NA,A75,2365,47.3,M,Divorced,A101,4,A122,49,A143,A152,1,A172,1,A192,A201
279,NA,6,YES,YES,A40,4611,A61,14,A72,2950,29.5,F,Divorced,A101,4,A122,32,A143,A152,1,A173,1,A191,A201
280,NA,24,YES,YES,A40,1901,A62,227,A73,741,29.64,M,Umarried,A101,4,A123,29,A143,A151,1,A174,1,A192,A201
281,NA,15,YES,NO,A40,3368,A64,2424,A75,1218,36.54,M,Umarried,A101,4,A124,23,A143,A151,2,A173,1,A192,A201
282,NA,12,YES,YES,A40,1574,A61,73,A73,1190,47.6,M,Umarried,A101,2,A121,50,A143,A152,1,A173,1,A191,A201
283,GOLD,18,NO,YES,A40,1445,A65,NA,A74,858,34.32,M,Umarried,A101,4,A123,49,A141,A152,1,A172,1,A191,A201
284,NA,15,YES,NO,A40,1520,A65,NA,A75,1172,46.88,M,Umarried,A101,4,A122,63,A143,A152,1,A173,1,A191,A201
285,SILVER,24,YES,NO,A40,3878,A62,202,A72,1151,46.04,M,Divorced,A101,2,A123,37,A143,A152,1,A173,1,A192,A201
286,BRONZE,47,YES,YES,A40,10722,A61,7,A72,2727,27.27,F,Divorced,A101,1,A121,35,A143,A152,1,A172,1,A192,A201
287,BRONZE,48,YES,YES,A40,4788,A61,97,A74,960,38.4,M,Umarried,A101,3,A122,26,A143,A152,1,A173,2,A191,A201
288,SILVER,48,YES,NO,A410,7582,A62,160,A71,2164,43.28,M,Umarried,A101,4,A124,31,A143,A153,1,A174,1,A192,A201
289,SILVER,12,YES,YES,A40,1092,A61,27,A73,855,34.2,F,Divorced,A103,4,A121,49,A143,A152,2,A173,1,A192,A201
290,BRONZE,24,YES,NO,A40,1024,A61,54,A72,969,38.76,M,Married,A101,4,A121,48,A142,A152,1,A173,1,A191,A201
291,NA,12,YES,YES,A49,1076,A61,34,A73,2068,41.36,M,Married,A101,2,A121,26,A143,A152,1,A173,1,A192,A202
292,SILVER,36,YES,YES,A40,9398,A61,29,A72,3386,33.86,M,Married,A101,4,A123,28,A143,A151,1,A174,1,A192,A201
293,BRONZE,24,YES,NO,A40,6419,A61,14,A75,2561,51.22,F,Divorced,A101,4,A124,44,A143,A153,2,A174,2,A192,A201
294,GOLD,42,YES,NO,A40,4796,A61,47,A75,750,30,M,Umarried,A101,4,A124,56,A143,A153,1,A173,1,A191,A201
295,NA,48,YES,NO,A49,7629,A65,NA,A75,1169,46.76,M,Divorced,A101,2,A123,46,A141,A152,2,A174,2,A191,A201
296,SILVER,48,YES,YES,A40,9960,A61,92,A72,2947,29.47,F,Divorced,A101,2,A123,26,A143,A152,1,A173,1,A192,A201
297,NA,12,YES,YES,A40,4675,A65,NA,A72,3491,34.91,F,Divorced,A101,4,A123,20,A143,A151,1,A173,1,A191,A201
298,NA,10,YES,YES,A40,1287,A65,NA,A75,1019,40.76,M,Umarried,A102,2,A122,45,A143,A152,1,A172,1,A191,A202
299,NA,18,YES,YES,A40,2515,A61,41,A73,1301,39.03,M,Umarried,A101,4,A121,43,A143,A152,1,A173,1,A192,A201
300,SILVER,21,YES,NO,A40,2745,A64,1259,A74,1295,38.85,M,Umarried,A101,2,A123,32,A143,A152,2,A173,1,A192,A201
301,NA,6,YES,YES,A40,672,A61,29,A71,2820,28.2,F,Divorced,A101,4,A121,54,A143,A152,1,A171,1,A192,A201
302,SILVER,36,NO,YES,A40,3804,A61,34,A73,956,38.24,F,Divorced,A101,1,A123,42,A143,A152,1,A173,1,A192,A201
303,GOLD,24,YES,NO,A40,1344,A65,NA,A74,1167,46.68,M,Umarried,A101,2,A121,37,A141,A152,2,A172,2,A191,A201
304,BRONZE,10,YES,NO,A40,1038,A61,62,A74,742,29.68,M,Umarried,A102,3,A122,49,A143,A152,2,A173,1,A192,A201
305,NA,48,YES,NO,A40,10127,A63,654,A73,2309,46.18,M,Umarried,A101,2,A124,44,A141,A153,1,A173,1,A191,A201
306,NA,6,YES,YES,A40,1543,A64,2998,A73,1130,45.2,M,Divorced,A101,2,A121,33,A143,A152,1,A173,1,A191,A201
307,NA,30,YES,YES,A40,4811,A65,NA,A74,2564,51.28,F,Divorced,A101,4,A122,24,A142,A151,1,A172,1,A191,A201
308,BRONZE,12,YES,YES,A40,727,A62,381,A72,719,28.76,M,Married,A101,3,A124,33,A143,A152,1,A172,1,A192,A201
309,SILVER,8,YES,YES,A40,1237,A61,98,A73,1350,40.5,F,Divorced,A101,4,A121,24,A143,A152,1,A173,1,A191,A201
310,SILVER,9,YES,YES,A40,276,A61,60,A73,750,30,M,Married,A101,4,A121,22,A143,A151,1,A172,1,A191,A201
311,SILVER,48,YES,YES,A410,5381,A65,NA,A71,1762,52.86,M,Umarried,A101,4,A124,40,A141,A153,1,A171,1,A192,A201
312,NA,24,YES,YES,A40,5511,A62,466,A73,835,33.4,M,Umarried,A101,1,A123,25,A142,A152,1,A173,1,A191,A201
313,GOLD,24,YES,YES,A40,3749,A61,33,A72,2239,44.78,F,Divorced,A101,4,A123,26,A143,A152,1,A173,1,A191,A201
314,SILVER,12,YES,YES,A40,685,A61,56,A74,1882,37.64,M,Married,A101,3,A123,25,A141,A152,1,A172,1,A191,A201
315,GOLD,4,YES,YES,A40,1494,A65,NA,A72,3233,32.33,M,Umarried,A101,2,A121,29,A143,A152,1,A172,2,A191,A202
316,BRONZE,36,NO,YES,A40,2746,A61,82,A75,1197,47.88,M,Umarried,A101,4,A123,31,A141,A152,1,A173,1,A191,A201
317,BRONZE,12,YES,YES,A40,708,A61,90,A73,2143,42.86,M,Umarried,A103,3,A122,38,A143,A152,1,A172,2,A191,A201
318,SILVER,24,YES,YES,A40,4351,A65,NA,A73,2865,28.65,F,Divorced,A101,4,A122,48,A143,A152,1,A172,1,A192,A201
319,NA,12,YES,NO,A46,701,A61,36,A73,727,29.08,M,Umarried,A101,2,A123,32,A143,A152,2,A173,1,A191,A201
320,BRONZE,15,YES,NO,A40,3643,A61,60,A75,3164,31.64,F,Divorced,A101,4,A122,27,A143,A152,2,A172,1,A191,A201
321,SILVER,30,YES,NO,A40,4249,A61,3,A71,1086,43.44,M,Married,A101,2,A123,28,A143,A152,2,A174,1,A191,A201
322,BRONZE,24,YES,YES,A40,1938,A61,23,A72,734,29.36,M,Divorced,A101,3,A122,32,A143,A152,1,A173,1,A191,A201
323,BRONZE,24,YES,YES,A40,2910,A61,4,A74,2070,41.4,M,Umarried,A101,1,A124,34,A143,A153,1,A174,1,A192,A201
324,BRONZE,18,YES,YES,A40,2659,A64,2025,A73,930,37.2,M,Umarried,A101,2,A123,28,A143,A152,1,A173,1,A191,A201
325,NA,18,YES,NO,A40,1028,A61,31,A73,1143,45.72,F,Divorced,A101,3,A121,36,A143,A152,2,A173,1,A191,A201
326,BRONZE,8,YES,NO,A40,3398,A61,94,A74,2649,26.49,M,Umarried,A101,4,A121,39,A143,A152,2,A172,1,A191,A202
327,NA,12,YES,NO,A40,5801,A65,NA,A75,2079,41.58,M,Umarried,A101,4,A122,49,A143,A151,1,A173,1,A192,A201
328,NA,24,YES,YES,A40,1525,A64,2247,A74,742,29.68,F,Divorced,A101,3,A123,34,A143,A152,1,A173,2,A192,A201
329,GOLD,36,YES,YES,A40,4473,A61,37,A75,949,37.96,M,Umarried,A101,2,A123,31,A143,A152,1,A173,1,A191,A201
330,SILVER,6,YES,YES,A40,1068,A61,2,A75,1191,47.64,M,Umarried,A101,4,A123,28,A143,A152,1,A173,2,A191,A201
331,BRONZE,24,YES,NO,A40,6615,A61,13,A71,2540,50.8,M,Umarried,A101,4,A124,75,A143,A153,2,A174,1,A192,A201
332,NA,18,YES,NO,A46,1864,A62,186,A73,1108,44.32,F,Divorced,A101,2,A121,30,A143,A152,2,A173,1,A191,A201
333,SILVER,60,YES,YES,A40,7408,A62,153,A72,771,30.84,F,Divorced,A101,2,A122,24,A143,A152,1,A174,1,A191,A201
334,NA,48,YES,NO,A40,11590,A62,137,A73,1973,39.46,F,Divorced,A101,4,A123,24,A141,A151,2,A172,1,A191,A201
335,BRONZE,24,NO,YES,A40,4110,A61,47,A75,1601,48.03,M,Umarried,A101,4,A124,23,A141,A151,2,A173,2,A191,A201
336,BRONZE,6,YES,NO,A40,3384,A61,90,A73,3442,34.42,M,Divorced,A101,4,A121,44,A143,A151,1,A174,1,A192,A201
337,SILVER,13,YES,YES,A40,2101,A61,41,A72,1979,39.58,F,Divorced,A103,4,A122,23,A143,A152,1,A172,1,A191,A201
338,BRONZE,15,YES,YES,A40,1275,A65,NA,A73,789,31.56,F,Divorced,A101,2,A123,24,A143,A151,1,A173,1,A191,A201
339,BRONZE,24,YES,YES,A40,4169,A61,71,A73,1033,41.32,M,Umarried,A101,4,A122,28,A143,A152,1,A173,1,A191,A201
340,SILVER,10,YES,YES,A40,1521,A61,66,A73,1198,47.92,M,Divorced,A101,2,A123,31,A143,A152,1,A172,1,A191,A201
341,SILVER,24,YES,NO,A46,5743,A61,83,A72,2068,41.36,F,Divorced,A101,4,A124,24,A143,A153,2,A173,1,A192,A201
342,BRONZE,21,YES,YES,A40,3599,A61,98,A74,2858,28.58,F,Divorced,A101,4,A123,26,A143,A151,1,A172,1,A191,A201
343,SILVER,18,YES,YES,A40,3213,A63,938,A72,3291,32.91,M,Married,A101,3,A121,25,A143,A151,1,A173,1,A191,A201
344,SILVER,18,YES,YES,A49,4439,A61,63,A75,2921,29.21,M,Umarried,A102,1,A121,33,A141,A152,1,A174,1,A192,A201
345,GOLD,10,YES,YES,A40,3949,A61,41,A72,3283,32.83,M,Umarried,A103,1,A122,37,A143,A152,1,A172,2,A191,A201
346,NA,15,YES,NO,A40,1459,A61,82,A73,1012,40.48,F,Divorced,A101,2,A123,43,A143,A152,1,A172,1,A191,A201
347,SILVER,13,YES,NO,A40,882,A61,39,A72,1154,46.16,M,Umarried,A103,4,A121,23,A143,A152,2,A173,1,A191,A201
348,SILVER,24,YES,YES,A40,3758,A63,962,A71,3060,30.6,F,Divorced,A101,4,A124,23,A143,A151,1,A171,1,A191,A201
349,NA,6,YES,NO,A49,1743,A62,110,A73,2772,27.72,M,Umarried,A101,2,A121,34,A143,A152,2,A172,1,A191,A201
350,SILVER,9,YES,NO,A46,1136,A64,2573,A75,1190,47.6,M,Umarried,A101,3,A124,32,A143,A153,2,A173,2,A191,A201
351,NA,9,YES,YES,A40,1236,A61,72,A72,3172,31.72,F,Divorced,A101,4,A121,23,A143,A151,1,A173,1,A192,A201
352,SILVER,9,YES,YES,A40,959,A61,16,A73,3367,33.67,F,Divorced,A101,2,A123,29,A143,A152,1,A173,1,A191,A202
353,NA,18,YES,NO,A40,3229,A65,NA,A71,2019,40.38,M,Umarried,A101,4,A124,38,A143,A152,1,A174,1,A192,A201
354,BRONZE,12,NO,YES,A40,6199,A61,5,A73,1171,46.84,M,Umarried,A101,2,A122,28,A143,A151,2,A173,1,A192,A201
355,NA,10,YES,YES,A46,727,A63,572,A75,1004,40.16,M,Umarried,A101,4,A124,46,A143,A153,1,A173,1,A192,A201
356,SILVER,24,YES,YES,A40,1246,A61,70,A72,1049,41.96,M,Umarried,A101,2,A121,23,A142,A152,1,A172,1,A191,A201
357,NA,12,YES,NO,A40,2331,A65,NA,A75,3099,30.99,M,Umarried,A102,4,A121,49,A143,A152,1,A173,1,A192,A201
358,NA,36,YES,NO,A40,4463,A61,20,A73,781,31.24,M,Umarried,A101,2,A123,26,A143,A152,2,A174,1,A192,A201
359,NA,12,YES,YES,A40,776,A61,20,A73,890,35.6,M,Married,A101,2,A121,28,A143,A152,1,A173,1,A191,A201
360,BRONZE,30,YES,YES,A40,2406,A61,50,A74,1186,47.44,F,Divorced,A101,4,A121,23,A143,A151,1,A173,1,A191,A201
361,SILVER,18,YES,YES,A46,1239,A65,NA,A73,1135,45.4,M,Umarried,A101,4,A124,61,A143,A153,1,A173,1,A191,A201
362,GOLD,12,YES,YES,A40,3399,A65,NA,A75,2564,51.28,M,Umarried,A101,3,A123,37,A143,A152,1,A174,1,A191,A201
363,GOLD,12,YES,NO,A40,2247,A61,13,A73,1897,37.94,F,Divorced,A101,2,A123,36,A142,A152,2,A173,1,A192,A201
364,NA,6,YES,YES,A40,1766,A61,35,A73,2678,26.78,M,Married,A101,2,A122,21,A143,A151,1,A173,1,A191,A201
365,BRONZE,18,YES,YES,A40,2473,A61,34,A71,746,29.84,M,Umarried,A101,1,A123,25,A143,A152,1,A171,1,A191,A201
366,NA,12,YES,YES,A49,1542,A61,92,A74,1868,37.36,M,Umarried,A101,4,A123,36,A143,A152,1,A173,1,A192,A201
367,NA,18,YES,NO,A40,3850,A61,5,A74,1646,49.38,M,Umarried,A101,1,A123,27,A143,A152,2,A173,1,A191,A201
368,BRONZE,18,YES,YES,A40,3650,A61,66,A72,2718,27.18,F,Divorced,A101,4,A123,22,A143,A151,1,A173,1,A191,A201
369,BRONZE,36,YES,YES,A40,3446,A61,68,A75,1140,45.6,M,Umarried,A101,2,A123,42,A143,A152,1,A173,2,A191,A201
370,SILVER,18,YES,YES,A40,3001,A61,74,A74,2323,46.46,F,Divorced,A101,4,A121,40,A143,A151,1,A173,1,A191,A201
371,NA,36,YES,YES,A40,3079,A65,NA,A73,1126,45.04,M,Umarried,A101,4,A121,36,A143,A152,1,A173,1,A191,A201
372,NA,18,YES,NO,A40,6070,A61,2,A75,1646,49.38,M,Umarried,A101,4,A123,33,A143,A152,2,A173,1,A192,A201
373,NA,10,YES,NO,A40,2146,A61,62,A72,2805,28.05,F,Divorced,A101,3,A121,23,A143,A151,2,A173,1,A191,A201
374,NA,60,YES,NO,A40,13756,A65,NA,A75,2292,45.84,M,Umarried,A101,4,A124,63,A141,A153,1,A174,1,A192,A201
375,SILVER,60,NO,YES,A410,14782,A62,494,A75,1666,49.98,F,Divorced,A101,4,A124,60,A141,A153,2,A174,1,A192,A201
376,BRONZE,48,NO,YES,A49,7685,A61,80,A74,2470,49.4,F,Divorced,A103,4,A123,37,A143,A151,1,A173,1,A191,A201
377,NA,18,YES,NO,A40,2320,A61,32,A71,1987,39.74,M,Married,A101,3,A121,34,A143,A152,2,A173,1,A191,A201
378,NA,7,YES,NO,A40,846,A65,NA,A75,1735,52.05,M,Umarried,A101,4,A124,36,A143,A153,1,A173,1,A191,A201
379,SILVER,36,YES,YES,A40,14318,A61,21,A75,803,32.12,M,Umarried,A101,2,A124,57,A143,A153,1,A174,1,A192,A201
380,NA,6,YES,NO,A40,362,A62,487,A73,941,37.64,F,Divorced,A101,4,A123,52,A143,A152,2,A172,1,A191,A201
381,BRONZE,20,YES,YES,A40,2212,A65,NA,A74,1055,42.2,M,Umarried,A101,4,A123,39,A143,A152,1,A173,1,A192,A201
382,SILVER,18,YES,YES,A40,12976,A61,81,A71,1569,47.07,F,Divorced,A101,4,A124,38,A143,A153,1,A174,1,A192,A201
383,NA,22,YES,YES,A40,1283,A65,NA,A74,876,35.04,F,Divorced,A101,4,A122,25,A143,A151,1,A173,1,A191,A201
384,GOLD,12,YES,YES,A40,1330,A61,7,A72,1181,47.24,M,Umarried,A101,1,A121,26,A143,A152,1,A173,1,A191,A201
385,NA,30,YES,NO,A49,4272,A62,265,A73,1977,39.54,M,Umarried,A101,2,A122,26,A143,A152,2,A172,1,A191,A201
386,NA,18,YES,NO,A40,2238,A61,83,A73,2521,50.42,F,Divorced,A101,1,A123,25,A143,A152,2,A173,1,A191,A201
387,NA,18,YES,YES,A40,1126,A65,NA,A72,804,32.16,F,Divorced,A101,2,A121,21,A143,A151,1,A173,1,A192,A201
388,SILVER,18,YES,NO,A40,7374,A61,43,A71,1093,43.72,M,Umarried,A101,4,A122,40,A142,A152,2,A174,1,A192,A201
